Date,Strike_x1.1,Strike_x1.05,Strike_x1,Strike_x0.95,Strike_x0.9
2021-01-20,414.08355901768886,395.2615790623393,376.4395991069898,357.6176191516403,338.79563919629084
2021-01-21,413.422012984529,394.63010330341405,375.83819362229906,357.0462839411841,338.25437426006914
2021-01-22,412.32524347482666,393.5831869532436,374.8411304316606,356.09907391007755,337.3570173884945
2021-01-25,415.86755638095286,396.9644856363641,378.0614148917753,359.15834414718654,340.25527340259777
2021-01-26,415.36881832156104,396.48841748876276,377.60801665596455,358.72761582316633,339.8472149903681
2021-01-27,405.33526764108126,386.91093729375933,368.48660694643746,350.0622765991156,331.6379462517937
2021-01-28,406.0265270617483,387.57077583166887,369.11502460158937,350.65927337150987,332.2035221414304
2021-01-29,397.0511106618687,379.00333290451096,360.9555551471533,342.9077773897956,324.85999963243796
2021-02-01,402.67215272317645,384.3688730539411,366.06559338470583,347.76231371547055,329.4590340462353
2021-02-02,406.5145087996785,388.03657658151127,369.55864436334406,351.08071214517685,332.60277992700964
2021-02-03,405.82589269689197,387.3792612106696,368.9326297244472,350.48599823822485,332.03936675200254
2021-02-04,411.77787268163576,393.0606966506523,374.3435206196688,355.62634458868536,336.90916855770195
2021-02-05,412.47098404288045,393.7223029500222,374.973621857164,356.2249407643058,337.4762596714476
2021-02-08,415.37900719228367,396.49814322899806,377.6172792657124,358.73641530242674,339.8555513391412
2021-02-09,414.96772988362807,396.10556034346314,377.2433908032982,358.3812212631333,339.5190517229684
2021-02-10,414.84174638118924,395.98530336386244,377.12886034653565,358.27241732920885,339.4159743118821
2021-02-11,417.6720180789765,398.6869263481139,379.70183461725134,360.7167428863888,341.7316511555262
2021-02-12,420.153822907175,401.05592186593975,381.95802082470453,362.8601197834693,343.7622187422341
2021-02-16,422.65021903584255,403.4388454433043,384.22747185076594,365.0160982582276,345.8047246656894
2021-02-17,424.6771199786779,405.37361452510163,386.07010907152534,366.76660361794904,347.4630981643728
2021-02-18,424.485055911662,405.1902806429501,385.89550537423816,366.6007301055262,347.30595483681435
2021-02-19,423.4452698913188,404.1977576235315,384.9502453557443,365.7027330879571,346.45522082016987
2021-02-22,421.8493801224095,402.67440829866365,383.49943647491773,364.3244646511718,345.14949282742595
2021-02-23,422.02698868040693,402.84394374038845,383.6608988003699,364.4778538603514,345.2948089203329
