Date,ATR,Lower_Bound
2021-01-08,4.709002685546875,360.0694976806641
2021-01-15,5.151998901367188,352.5160171508789
2021-01-22,3.5999969482421874,366.68001861572264
2021-01-29,5.580999755859375,344.95550842285155
2021-02-05,6.1479949951171875,360.0440139770508
2021-02-12,4.026995849609375,374.51853332519534
2021-02-19,3.1850067138671876,375.69746856689454
2021-02-26,5.403009033203125,356.04644470214845
2021-03-05,8.184002685546876,346.80199279785154
2021-03-12,7.214996337890625,361.59251403808594
2021-03-19,5.091998291015625,366.56601867675784
2021-03-26,5.119000244140625,372.9445098876953
2021-04-09,3.6100006103515625,395.24498748779297
2021-04-16,2.9199951171875,404.1200317382812
2021-04-23,3.8769989013671875,399.29349517822266
2021-04-30,3.8080078125,400.16395263671876
2021-05-07,3.426007080078125,406.7029632568359
2021-05-14,5.8,390.4799865722656
2021-05-21,6.081002807617187,387.5754898071289
2021-05-28,3.76500244140625,403.0974975585938
2021-06-04,3.141998291015625,408.4610137939453
2021-06-11,2.6639984130859373,412.322004699707
2021-06-18,3.1129913330078125,400.9115524291992
2021-06-25,3.6649871826171876,410.11754302978517
2021-07-02,2.7539947509765623,421.32702484130857
2021-07-09,3.230999755859375,420.98049011230466
2021-07-16,3.957000732421875,413.5334930419922
2021-07-23,4.417001342773437,420.0634963989258
2021-07-30,4.323001098632813,419.05650482177737
2021-08-06,3.100994873046875,428.53551330566404
2021-08-13,2.314996337890625,435.5025299072266
2021-08-20,3.28699951171875,428.5684875488281
2021-08-27,4.007000732421875,432.21849670410154
2021-09-03,2.5260009765625,441.7129821777344
2021-09-10,2.9850006103515625,432.0074996948242
2021-09-17,4.265008544921875,422.20745544433595
2021-09-24,5.966009521484375,417.0629608154297
2021-10-01,6.623004150390625,404.4364715576172
2021-10-08,6.374996948242187,409.17249908447263
2021-10-15,5.65,420.4449951171875
2021-10-22,4.074002075195312,434.78698577880857
2021-10-29,3.4239990234375,443.8420043945313
2021-11-05,3.3239990234375,453.57200317382814
2021-11-12,3.1850006103515627,452.93748626708987
2021-11-19,3.072998046875,455.0615234375
2021-11-26,4.4889984130859375,438.7695083618164
2021-12-03,8.074002075195313,417.08700408935545
2021-12-10,8.022000122070313,434.64098968505857
2021-12-17,6.618002319335938,430.08898468017577
2021-12-31,5.269992065429688,451.24502716064455
2022-01-07,4.566000366210938,445.5429946899414
2022-01-14,6.42200927734375,435.8209594726562
2022-01-21,8.26400146484375,400.79200439453126
2022-01-28,12.090997314453125,387.5405242919922
2022-02-04,11.673001098632813,396.17150726318357
2022-02-11,8.487997436523438,402.26400299072264
2022-02-18,7.861996459960937,398.8510269165039
2022-02-25,9.898001098632813,393.20899505615233
2022-03-04,9.893002319335938,387.65150299072263
2022-03-11,9.694000244140625,376.44700622558594
2022-03-18,9.949996948242188,399.74500274658203
2022-03-25,7.40999755859375,419.3450134277344
2022-04-01,5.81099853515625,426.77052001953126
2022-04-08,6.10799560546875,420.0840270996094
2022-04-22,7.719000244140625,391.30450744628905
2022-04-29,10.107003784179687,366.5184829711914
2022-05-06,12.028005981445313,357.2139694213867
2022-05-13,12.077999877929688,347.3690017700195
2022-05-20,11.581002807617187,337.51549224853517
2022-05-27,10.150009155273438,369.58496856689453
2022-06-03,9.587002563476563,367.3984970092773
2022-06-10,8.619998168945312,351.00999603271487
2022-06-17,10.007000732421876,320.82848205566404
2022-06-24,10.683001708984374,342.00647888183596
2022-07-01,8.078997802734374,344.88450012207034
2022-07-08,7.533999633789063,354.7670150756836
2022-07-15,6.976004028320313,353.7379867553711
2022-07-22,7.416998291015625,361.7135040283203
2022-07-29,7.5699951171875,377.9250122070313
2022-08-05,6.250997924804688,385.340510559082
2022-08-12,5.634002685546875,401.7469940185547
2022-08-19,5.4800048828125,397.47999267578126
2022-08-26,6.220001220703125,377.3199920654297
2022-09-02,7.461996459960938,358.66100616455077
2022-09-09,7.9579925537109375,370.7890396118164
2022-09-16,8.363998413085938,347.92200469970703
2022-09-23,8.588995361328125,329.2995330810547
2022-09-30,8.754989624023438,317.7825393676758
2022-10-07,9.58099365234375,319.675537109375
2022-10-14,9.9780029296875,312.72899169921874
2022-10-21,9.503009033203124,331.52646789550784
2022-10-28,8.022003173828125,352.9209747314453
2022-11-04,7.4949951171875,342.6225280761719
2022-11-11,8.716000366210938,359.28800811767576
2022-11-18,7.443002319335937,362.53648834228517
2022-11-25,4.6529998779296875,381.39148712158203
2022-12-02,5.499993896484375,382.1600311279297
2022-12-09,6.581991577148438,363.6610366821289
2022-12-16,7.5929931640625,349.1015197753906
2022-12-23,7.977999877929688,347.0090042114258
2022-12-30,6.50400390625,353.16197509765624
2023-01-06,6.901004028320313,357.02546844482424
2023-01-13,6.1620025634765625,370.77098846435547
2023-01-20,6.102999877929688,368.41650543212893
2023-01-27,5.685000610351563,380.09748992919924
2023-02-03,6.324002075195312,383.8919967651367
2023-02-10,6.667001342773437,378.0385025024414
2023-02-17,5.674996948242187,381.72252349853517
2023-02-24,5.507998657226563,371.594010925293
2023-03-03,5.410006713867188,379.84497222900393
2023-03-10,5.774005126953125,359.92698059082034
2023-03-17,7.698007202148437,355.34895782470704
2023-03-24,7.924008178710937,360.09196319580076
2023-03-31,5.681002807617188,383.8255020141602
2023-04-14,4.182003784179687,393.6409744262695
2023-04-21,3.6699981689453125,395.68502044677734
2023-04-28,4.109002685546875,397.4394805908203
2023-05-05,5.499005126953125,387.8844818115234
2023-05-12,4.61400146484375,390.8269897460938
2023-05-19,3.7079986572265624,401.93400115966796
2023-05-26,4.35,400.4449890136719
